Site ID,Facility Type,Facility Subtype,Facility ID,Oval Track Lanes,Oval Track Length,Sprint Straight Length,Straight Track Lanes,Track Lanes,Track Length,Artificial Sports Lighting,Discuss Throw Facility,Hammer Throw Facility,High Jump Facility,Indoor Throw Net for Javelin,Indoor Throws Training - Cage,Infield Surface Type,Javelin Throw Facility,Long Jump Facility,Pole Vault Facility,Shot Put Facility,Steeplechase Water Jump,Track Surface Type,Triple Jump Facility,SpectatorAccom: Capacity Estimate,SpectatorAccom: Checked,SpectatorAccom: Shared Flag,SpectatorAccom: Designated Accessible,SpectatorAccom: Designated Accessible Covered,SpectatorAccom: Designated Accessible Uncovered,SpectatorAccom: Seating,SpectatorAccom: Seating Covered,SpectatorAccom: Seating Uncovered,SpectatorAccom: Standing,SpectatorAccom: Standing Covered,SpectatorAccom: Standing Uncovered,SpectatorAccom: Total Capacity,Operational Status,Operational Status Notes,Operator Name,Date Opened,Expected Opening Date,Accessibility Type (Text),Accessibility Type Group (Text),Management Type (Text),Management Type Group (Text),Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Changing Place Toilets,Disability Notes,Year Built,Year Built Estimated?,Is Refurbished?,Year Refurbished,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Timing Type,Seasonality Type,Start Month,End Month,Closed Date,Closure Reason,Last Updated Date,Meets Active Places Criteria,Easting,Northing,Latitude,Longitude,OBJECTID,Created Date,x,y
1002473,Athletics,Standard Oval Outdoor,2009268,8,400,110,9,,,Yes,Yes,Yes,Yes,,,Grass,Yes,Yes,Yes,Yes,Yes,Synthetic,Yes,Yes,Yes,No,,1,0,,720,0,,0,0,721,Operational,,Nottingham City Council,,,Sports Club / Community Association,Public Access,Local Authority (in house),Local Authority,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Parking: 12 bays,1965,No,Yes,2004,Yes,No,,Detailed Timings,All Year,,,,,10/13/2023 11:56:19 AM,Yes,452552,341399,52.9674,-1.218983,11,,452552,341399
30009815,Athletics,Standard Oval Outdoor,2009269,8,400,110,10,,,Yes,Yes,Yes,Yes,,,Grass,Yes,Yes,No,Yes,Yes,Synthetic,Yes,No,Yes,No,,1,0,,1016,0,,0,0,1017,Operational,Facility no longer managed by our organisation,,,,Pay and Play,Public Access,Trust,Trust,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,1998,No,Yes,2009,Yes,No,,Detailed Timings,All Year,,,,,12/12/2023 1:54:18 PM,Yes,356867,405707,53.54623,-2.652418,12,,356867,405707
1002845,Athletics,Standard Oval Outdoor,2009271,8,400,110,8,,,Yes,Yes,Yes,Yes,,,Grass,Yes,Yes,Yes,Yes,Yes,Synthetic,Yes,Yes,Yes,No,,1,0,,200,0,,0,0,201,Operational,,,,,Sports Club / Community Association,Public Access,Local Authority (in house),Local Authority,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Parking: 8 designated disabled parking bays available,1987,No,Yes,2005,Yes,No,,Detailed Timings,All Year,,,,,8/21/2024 3:36:05 PM,Yes,522490,181593,51.51999,-0.2359142,13,,522490,181593
1002851,Athletics,Standard Oval Outdoor,2009272,8,400,112,8,,,Yes,Yes,Yes,Yes,,,Grass,Yes,No,No,No,No,Synthetic,No,No,No,No,,0,0,,0,0,,0,0,0,Operational,,Everyone Active,,,Sports Club / Community Association,Public Access,Commercial Management,Commercial,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Parking: Designated bays for orange badge holders, Reception Area: Ramp, Doorways: Automatic doors at reception., Activity Areas: Lift access to all floors.",2003,No,Yes,2006,Yes,No,,Detailed Timings,All Year,,,,,2/20/2024 5:54:30 PM,Yes,526664,166611,51.38443,-0.181153,14,,526664,166611
1002925,Athletics,Standard Oval Outdoor,2009273,6,400,110,7,,,Yes,Yes,Yes,Yes,,,Grass,Yes,Yes,Yes,Yes,Yes,Synthetic,Yes,No,No,No,,0,0,,0,0,,0,0,0,Operational,,,,,Pay and Play,Public Access,Trust,Trust,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,1959,No,Yes,2004,Yes,No,,Detailed Timings,All Year,,,,,5/17/2024 7:56:03 AM,Yes,523342,211738,51.79071,-0.2130262,15,,523342,211738
1002999,Athletics,Standard Oval Outdoor,2009274,6,400,110,8,,,Yes,Yes,Yes,Yes,,,Grass,Yes,Yes,Yes,Yes,Yes,Synthetic,Yes,No,No,No,,0,0,,0,0,,0,0,0,Operational,,Bolton Middlebrook Leisure Trust,,,Pay and Play,Public Access,Trust,Trust,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,2001,No,No,,Yes,No,,Detailed Timings,All Year,,,,,8/24/2023 1:57:50 PM,Yes,364416,409316,53.57924,-2.53891,16,,364416,409316
1003192,Athletics,Standard Oval Outdoor,2009275,8,400,110,10,,,Yes,Yes,Yes,Yes,,,Grass,Yes,Yes,Yes,Yes,Yes,Synthetic,Yes,No,No,No,,0,0,,0,0,,0,0,0,Operational,,Freedom Leisure,,,Pay and Play,Public Access,Trust,Trust,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,IFI accredited.,1993,No,Yes,2006,Yes,No,,Detailed Timings,All Year,,,,,5/30/2024 2:43:29 PM,Yes,500389,150988,51.24923,-0.5629895,17,,500389,150988
1003280,Athletics,Standard Oval Outdoor,2009276,8,400,110,10,,,Yes,Yes,Yes,Yes,,,Grass,Yes,Yes,Yes,Yes,Yes,Synthetic,Yes,No,Yes,No,,1,0,,150,0,,0,0,151,Operational,,1Life,,,Sports Club / Community Association,Public Access,Commercial Management,Commercial,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,2003,No,No,,Yes,Yes,2006,Detailed Timings,All Year,,,,,9/3/2024 11:06:35 AM,Yes,529705,343937,52.97712,-0.06970792,18,,529705,343937
1003543,Athletics,Standard Oval Outdoor,2009277,6,400,110,8,,,Yes,Yes,Yes,Yes,,,Grass,Yes,Yes,Yes,Yes,Yes,Synthetic,Yes,No,No,No,,0,0,,0,0,,0,0,0,Operational,,,,,Registered Membership use,Public Access,Trust,Trust,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,,2000,No,Yes,2009,Yes,Yes,2007,Detailed Timings,All Year,,,,,5/13/2024 9:13:24 AM,Yes,542125,109675,50.86911,0.01845673,19,,542125,109675
1003558,Athletics,Standard Oval Outdoor,2009278,6,400,110,8,,,Yes,Yes,Yes,Yes,,,Grass,Yes,Yes,Yes,Yes,Yes,Synthetic,Yes,No,No,No,,0,0,,0,0,,0,0,0,Operational,,,,,Sports Club / Community Association,Public Access,School/College/University (in house),Education,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,,1996,No,Yes,2018,Yes,Yes,2004,Detailed Timings,All Year,,,,,5/1/2024 8:16:23 AM,Yes,580822,111654,50.87609,0.5688473,20,,580822,111654
30010179,Athletics,Standard Oval Outdoor,2009280,8,400,110,8,,,Yes,Yes,Yes,Yes,,,Grass,Yes,Yes,Yes,Yes,Yes,Synthetic,Yes,No,Yes,No,,0,0,,564,0,,0,0,564,Operational,7 Changing rooms on site.,Everyone Active,,,Sports Club / Community Association,Public Access,Commercial Management,Commercial,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,,1974,No,Yes,2013,Yes,Yes,2022,Detailed Timings,All Year,,,,,12/19/2024 10:35:12 AM,Yes,436568,332720,52.89072,-1.457922,21,,436568,332720
1003596,Athletics,Standard Oval Outdoor,2009281,8,0,0,0,,,Yes,No,No,No,,,Grass,No,No,No,No,No,Synthetic,No,No,No,No,,0,0,,0,0,,0,0,0,Closed,,Everyone Active,,,Pay and Play,Public Access,Commercial Management,Commercial,No,No,No,No,No,No,No,No,No,No,Not Known,,1993,No,Yes,2004,Yes,No,,Not Known,All Year,,,8/17/2009 12:00:00 AM,Unclassified,2/23/2024 10:08:09 AM,No,423299,323828,52.81152,-1.655764,22,,423299,323828
1003714,Athletics,Standard Oval Outdoor,2009282,8,400,110,8,,,Yes,Yes,Yes,Yes,,,Grass,Yes,Yes,Yes,Yes,Yes,Synthetic,Yes,No,No,No,,0,0,,0,0,,0,0,0,Operational,,Fusion Lifestyle,,,Pay and Play,Public Access,Trust,Trust,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Lift.,1992,No,Yes,2008,Yes,Yes,2013,Detailed Timings,All Year,,,,,9/19/2024 10:28:49 AM,Yes,574907,223786,51.8852,0.540036,23,,574907,223786
1003770,Athletics,Standard Oval Outdoor,2009283,8,400,110,8,,,Yes,Yes,Yes,Yes,,,Grass,Yes,Yes,Yes,Yes,Yes,Synthetic,Yes,No,No,No,,0,0,,0,0,,0,0,0,Operational,,Fusion Lifestyle,,,Pay and Play,Public Access,Trust,Trust,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,1996,No,Yes,2005,Yes,No,,Detailed Timings,All Year,,,,,11/13/2024 10:33:27 AM,Yes,589745,187386,51.55345,0.7355738,24,,589745,187386
1003784,Athletics,Standard Oval Outdoor,2009284,6,0,0,0,,,Yes,No,No,No,,,Grass,No,No,No,No,No,Synthetic,No,No,No,No,,0,0,,0,0,,0,0,0,Closed,,,,,Pay and Play,Public Access,Not Known,Not Known,No,No,No,No,No,No,No,No,No,No,Not Known,,1991,No,No,,Yes,No,,Not Known,All Year,,,2/1/2011 12:00:00 AM,Unclassified,11/2/2023 10:54:15 AM,No,578127,184811,51.5341,0.5668697,25,,578127,184811
1003795,Athletics,Standard Oval Outdoor,2009285,6,0,0,0,,,No,No,No,No,,,Grass,No,No,No,No,No,Cinder,No,No,No,No,,0,0,,0,0,,0,0,0,Closed,,,,,Pay and Play,Public Access,Not Known,Not Known,No,No,No,No,No,No,No,No,No,No,Not Known,,1969,No,No,,Yes,Yes,2006,Not Known,All Year,,,2/28/2010 12:00:00 AM,Unclassified,3/5/2010 12:00:00 AM,No,514323,201889,51.70412,-0.3469646,26,,514323,201889
1003854,Athletics,Standard Oval Outdoor,2009287,8,400,110,8,,,Yes,Yes,Yes,Yes,,,Grass,Yes,Yes,Yes,Yes,Yes,Synthetic,Yes,No,No,No,,0,0,,0,0,,0,0,0,Operational,,,,,Pay and Play,Public Access,Trust,Trust,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Sports halls and studio are fully accessible. 2 ground floor disabled toilets, 2 disabled toilets on the first floor.  1 Changing Places registered toilet/changing room (includes hoist and shower facilities). 3 designated parking spaces    
Have there been any refurbishments at your site in the last 12 months? Changing Places toilet/changing room installed  
",1996,No,Yes,2005,Yes,No,,Detailed Timings,All Year,,,,,3/5/2024 2:22:28 PM,Yes,535635,215737,51.82381,-0.03332926,27,,535635,215737
1003969,Athletics,Standard Oval Outdoor,2009288,8,400,110,8,,,Yes,Yes,Yes,Yes,,,Grass,Yes,Yes,Yes,Yes,Yes,Synthetic,Yes,No,Yes,No,,1,0,,436,0,,0,0,437,Operational,,Bh Live,,,Sports Club / Community Association,Public Access,Commercial Management,Commercial,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Activity Areas: Lift,1983,No,Yes,2016,Yes,Yes,2009,Detailed Timings,All Year,,,,,9/12/2024 2:06:43 PM,Yes,464735,103190,50.82463,-1.082283,28,,464735,103190
1004063,Athletics,Standard Oval Outdoor,2009290,8,400,100,8,,,No,No,No,No,,,Grass,No,No,No,No,No,Cinder,No,No,No,No,,0,0,,0,0,,0,0,0,Closed,,,,,Registered Membership use,Public Access,School/College/University (in house),Education,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,,1950,No,No,,Yes,Yes,2005,Detailed Timings,All Year,,,7/31/2013 12:00:00 AM,Strategic Review - facility/site not being replaced,8/2/2023 11:05:54 AM,Yes,462312,301530,52.60801,-1.081254,29,,462312,301530
1004078,Athletics,Standard Oval Outdoor,2009291,8,400,110,8,,,Yes,Yes,Yes,Yes,,,Grass,Yes,Yes,Yes,Yes,Yes,Synthetic,Yes,No,Yes,No,,1,0,,1500,0,,0,0,1501,Operational,,,,,Sports Club / Community Association,Public Access,Local Authority (in house),Local Authority,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,,1969,No,Yes,2006,Yes,Yes,2006,Detailed Timings,All Year,,,,,3/12/2024 11:20:03 AM,Yes,458697,302069,52.61325,-1.134522,30,,458697,302069
1004104,Athletics,Standard Oval Outdoor,2009292,6,0,0,0,,,No,No,No,No,,,Grass,No,No,No,No,No,Synthetic,No,No,No,No,,0,0,,0,0,,0,0,0,Closed,,,,,Sports Club / Community Association,Public Access,Not Known,Not Known,No,No,No,No,No,No,No,No,No,No,Not Known,,1960,No,Yes,1988,Yes,No,,Not Known,All Year,,,7/31/2011 12:00:00 AM,Unclassified,10/5/2011 12:00:00 AM,No,436832,564475,54.97355,-1.42615,31,,436832,564475
1004121,Athletics,Standard Oval Outdoor,2009293,8,400,110,8,,,Yes,Yes,Yes,Yes,,,Grass,Yes,Yes,Yes,Yes,Yes,Synthetic,Yes,Yes,Yes,No,,1,0,,3300,0,,0,0,3301,Operational,,,,,Pay and Play,Public Access,Local Authority (in house),Local Authority,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Parking: Disabled parking bays next to entrance, Finding/Reaching Entrance: Ramp & paved pathway to entrance, Reception Area: Automated doors",1955,No,Yes,2003,Yes,Yes,2011,Detailed Timings,All Year,,,,,12/12/2023 10:16:08 AM,Yes,426933,563000,54.96092,-1.580929,32,,426933,563000
1004140,Athletics,Standard Oval Outdoor,2009294,8,0,0,0,,,Yes,No,No,No,,,Grass,No,No,No,No,No,Synthetic,No,No,No,No,,0,0,,0,0,,0,0,0,Closed,,,,,Sports Club / Community Association,Public Access,Not Known,Not Known,No,No,No,No,No,No,No,No,No,No,Not Known,,1987,No,Yes,2006,Yes,Not Known,,Detailed Timings,All Year,,,11/1/2010 12:00:00 AM,Unclassified,12/13/2023 11:26:24 AM,No,428522,563873,54.96868,-1.556028,33,,428522,563873
1004145,Athletics,Standard Oval Outdoor,2009295,8,400,110,8,,,Yes,Yes,Yes,Yes,,,Grass,Yes,Yes,Yes,Yes,Yes,Synthetic,Yes,No,Yes,No,,1,0,,500,0,,0,0,501,Operational,,,,,Registered Membership use,Public Access,Local Authority (in house),Local Authority,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Automatic doors.,1988,No,Yes,2004,Yes,No,,Detailed Timings,All Year,,,,,9/1/2023 1:47:15 PM,Yes,432293,563596,54.96596,-1.49715,34,,432293,563596
1004192,Athletics,Standard Oval Outdoor,2009297,6,400,110,7,,,Yes,Yes,Yes,Yes,,,Grass,Yes,Yes,Yes,Yes,Yes,Synthetic,Yes,No,Yes,No,,1,0,,100,0,,0,0,101,Operational,,,,,Registered Membership use,Public Access,Local Authority (in house),Local Authority,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,1956,No,Yes,2005,Yes,Yes,1999,Detailed Timings,All Year,,,,,10/31/2024 9:20:37 AM,Yes,389995,300960,52.60634,-2.149166,35,,389995,300960
1004193,Athletics,Standard Oval Outdoor,2009298,8,400,110,10,,,Yes,Yes,Yes,Yes,,,Grass,Yes,Yes,Yes,Yes,Yes,Synthetic,Yes,No,Yes,No,,10,0,,20000,0,,0,0,20010,Operational,Stadium track,,,,Pay and Play,Public Access,Local Authority (in house),Local Authority,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,1976,No,Yes,2021,Yes,Yes,2021,Detailed Timings,All Year,,,,,11/12/2024 11:30:34 AM,Yes,406531,292599,52.53124,-1.905138,36,,406531,292599
1004247,Athletics,Standard Oval Outdoor,2009300,6,400,110,8,,,Yes,No,No,No,,,Synthetic,No,Yes,No,No,No,Synthetic,No,No,No,No,,0,0,,0,0,,0,0,0,Operational,,,,,Pay and Play,Public Access,Commercial Management,Commercial,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Known,,1982,No,Yes,2013,Yes,No,,Detailed Timings,All Year,,,,,11/4/2024 3:35:57 PM,Yes,411546,282329,52.43883,-1.831575,37,,411546,282329
1004255,Athletics,Standard Oval Outdoor,2009301,8,400,110,8,,,Yes,Yes,Yes,Yes,,,Grass,Yes,Yes,Yes,Yes,Yes,Synthetic,Yes,Yes,Yes,No,,0,0,,150,0,,0,0,150,Operational,,,,,Private Use,Private,Trust,Trust,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,,1984,No,No,,Yes,No,,Detailed Timings,All Year,,,,,1/9/2025 10:49:55 AM,Yes,402462,287175,52.48251,-1.96517,38,,402462,287175
1037971,Athletics,Standard Oval Outdoor,2009302,8,400,110,8,,,Yes,Yes,Yes,Yes,,,Grass,Yes,Yes,Yes,Yes,Yes,Synthetic,Yes,No,Yes,No,,1,0,,576,0,,0,0,577,Operational,,Everyone Active,,,Pay and Play,Public Access,Commercial Management,Commercial,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,1985,No,Yes,2001,Yes,No,,Detailed Timings,All Year,,,,,3/8/2024 4:08:44 PM,Yes,414506,279399,52.41242,-1.788158,39,,414506,279399
6015166,Athletics,Compact Outdoor,30018802,,,,,4,70,No,No,No,No,,,,No,No,No,No,,Grass,No,No,No,No,,0,0,,0,0,,0,0,0,Operational,,,,,Private Use,Private,School/College/University (in house),Education,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,,2010,Yes,No,,Yes,No,,Dawn To Dusk,All Year,,,,,4/19/2024 10:09:43 AM,Yes,553396,174919,51.45248,0.2063097,40,6/13/2019 2:57:31 PM,553396,174919
1002141,Athletics,Indoor Training,30026428,,,60,6,,,,,,No,No,Yes,,,Yes,No,No,,Synthetic,Yes,No,No,No,0,,,0,,,0,,,0,Operational,,Greenwich Leisure Limited,,,Registered Membership use,Public Access,Trust,Trust,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,1964,No,Yes,2004,Yes,Yes,2004,Detailed Timings,All Year,,,,,11/15/2024 3:37:30 PM,Yes,534454,170658,51.419,-0.06774256,41,9/23/2021 11:24:58 AM,534454,170658
1004298,Athletics,Standard Oval Outdoor,2009303,6,400,110,8,,,Yes,No,No,No,,,Synthetic,No,Yes,No,No,No,Synthetic,Yes,No,No,No,,0,0,,0,0,,0,0,0,Operational,,Everyone Active,,,Pay and Play,Public Access,Commercial Management,Commercial,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,,1997,Yes,No,,Yes,Yes,2006,Detailed Timings,All Year,,,,,11/18/2024 1:49:17 PM,Yes,417353,287285,52.48323,-1.745895,42,,417353,287285
1004309,Athletics,Standard Oval Outdoor,2009305,7,400,100,6,,,No,No,No,No,,,Grass,No,No,No,No,No,Cinder,No,No,No,No,,0,0,,0,0,,0,0,0,Operational,"Re-opened on Active Places 27/02/2020
Operational again",,,,Pay and Play,Public Access,Not Known,Not Known,No,No,No,No,No,No,No,No,No,No,No,,1965,No,No,,Yes,No,,Dawn To Dusk,All Year,,,,,11/11/2024 10:49:26 AM,Yes,432629,283720,52.45049,-1.521306,43,,432629,283720
1004341,Athletics,Standard Oval Outdoor,2009306,8,400,110,8,,,Yes,Yes,Yes,Yes,,,Grass,Yes,Yes,Yes,Yes,Yes,Synthetic,Yes,No,Yes,No,,1,1,,208,0,,0,0,210,Operational,,,,,Sports Club / Community Association,Public Access,Trust,Trust,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Known,,1998,No,Yes,2014,Yes,No,,Detailed Timings,All Year,,,,,1/9/2025 11:55:53 AM,Yes,396575,294198,52.54564,-2.051931,44,,396575,294198
